PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
42852250,35,2,43,1,4,13,1,12060,7,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,-1,8,1
68216245,42,2,39,4,1,13,1,12060,1,6,1,-1,1,1,1,1,0,0,0,0,0,0,0,1,-1,1,1
82694232,39,2,39,4,2,13,1,12060,1,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
43026185,36,2,43,1,4,13,1,12060,7,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,20,0,0
59332583,36,1,39,1,4,13,1,12060,7,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0
96480612,43,1,43,4,2,13,1,12060,1,13,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
59451227,49,1,44,1,4,13,1,12060,1,9,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
51663391,49,2,39,1,2,13,1,12060,1,6,10,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
60538891,51,1,39,1,2,13,1,12060,1,10,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
65268975,52,2,44,1,4,13,1,12060,1,12,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
66347999,54,2,38,1,1,13,1,12060,1,10,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
59233172,34,1,42,6,1,13,1,23580,1,4,9,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
53320392,36,1,40,4,1,13,1,47580,1,10,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
56579472,33,2,40,4,1,13,1,47580,1,8,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
53320392,37,1,39,6,1,13,1,12060,1,11,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
45141127,35,2,39,6,1,13,1,12060,1,11,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
40988623,36,1,40,6,1,13,2,0,1,5,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
